receipt_id,date,store,name,price,quantity,receipt_category,category,health_score
Lidl_20260102,2026-01-02,Lidl,Orangen,2.99,0.296 kg,Lidl,Früchte,9
Lidl_20260102,2026-01-02,Lidl,Litschi,1.45,1,Lidl,Früchte,9
Lidl_20260102,2026-01-02,Lidl,Avocado,2.99,1,Lidl,Früchte,9
Lidl_20260102,2026-01-02,Lidl,Erdbeeren 250g,4.58,2,Lidl,Früchte,9
Lidl_20260102,2026-01-02,Lidl,Traub hell 500g,2.49,1,Lidl,Früchte,9
Lidl_20260102,2026-01-02,Lidl,Zuckermais,2.49,1,Lidl,Gemüse,9
Lidl_20260102,2026-01-02,Lidl,Zitronen,0.99,1,Lidl,Früchte,9
Lidl_20260102,2026-01-02,Lidl,Knorr Spargelcreme,3.18,2,Lidl,Gemüse,9
Lidl_20260102,2026-01-02,Lidl,Bio-Eier OKT,6.78,2,Lidl,Eier,8
Lidl_20260102,2026-01-02,Lidl,Knorr Suppen Toscana,1.59,1,Lidl,Fertiggerichte & Saucen,4
Lidl_20260102,2026-01-02,Lidl,Oreo Remix Brownie,1.39,1,Lidl,Süßigkeiten & Desserts,2
Lidl_20260102,2026-01-02,Lidl,Mandeln Honig/Salz,1.99,1,Lidl,Hülsenfrüchte & Nüsse,8
Lidl_20260102,2026-01-02,Lidl,Knotenbeutel,0.02,1,Lidl,Non-Food,0
Lidl_20260102,2026-01-02,Lidl,Knorr Feinschm.Blum.,0.79,1,Lidl,Fertiggerichte & Saucen,4
Lidl_20260105,2026-01-05,Lidl,Kinderzahngel Erdb.,0.5,1,Lidl,Non-Food,0
Lidl_20260105,2026-01-05,Lidl,Elmex/Aronal Duopack,6.75,1,Lidl,Non-Food,0
Lidl_20260106,2026-01-06,Lidl,Schmelzkäse Toast,1.69,1,Lidl,Milchprodukte,6
Lidl_20260106,2026-01-06,Lidl,Knotenbeutel,0.04,2,Lidl,Non-Food,0
Lidl_20260106,2026-01-06,Lidl,Vollk. Sandwi. Toast,1.09,1,Lidl,Brot & Getreide,6
Lidl_20260106,2026-01-06,Lidl,Schmelzkäse Allgäuer,1.69,1,Lidl,Milchprodukte,6
Lidl_20260106,2026-01-06,Lidl,Tomaten Strauch,1.67,0.838 kg,Lidl,Gemüse,9
Lidl_20260106,2026-01-06,Lidl,Erdbeeren 250g,4.38,2,Lidl,Früchte,9
Lidl_20260106,2026-01-06,Lidl,Bioland Rote Bete,1.99,1,Lidl,Gemüse,9
Lidl_20260106,2026-01-06,Lidl,Naturjoghurt Milch 3.8%,1.98,2,Lidl,Milchprodukte,6
Lidl_20260106,2026-01-06,Lidl,Banane lose,1.17,0.906 kg,Lidl,Früchte,9
Lidl_20260107,2026-01-07,Lidl,Bauerngurken,2.99,1,Lidl,Gemüse,9
Lidl_20260107,2026-01-07,Lidl,Apfel rot süß,1.0,0.438 kg,Lidl,Früchte,9
Lidl_20260107,2026-01-07,Lidl,Bio Mini Möhren 200g,0.99,1,Lidl,Gemüse,9
Lidl_20260107,2026-01-07,Lidl,Granatapfel,1.19,1,Lidl,Früchte,9
Lidl_20260107,2026-01-07,Lidl,Bio Baby Spinat,1.29,1,Lidl,Gemüse,9
Lidl_20260107,2026-01-07,Lidl,Einzehenknoblauch,2.29,1,Lidl,Gemüse,9
Lidl_20260108,2026-01-08,Lidl,Softfrüchte Aprikose,1.89,1,Lidl,Früchte,9
Lidl_20260108,2026-01-08,Lidl,Bio-Eier OKT 10er,3.99,1,Lidl,Eier,8
Lidl_20260110,2026-01-10,Lidl,Biol. Fruchtjoghurt Erdb.,0.59,1,Lidl,Milchprodukte,6
Lidl_20260110,2026-01-10,Lidl,Bioland Naturjoghurt,1.79,1,Lidl,Milchprodukte,6
Lidl_20260110,2026-01-10,Lidl,Nesquik Pudding Choc,2.29,1,Lidl,Süßigkeiten & Desserts,2
Lidl_20260110,2026-01-10,Lidl,Holunderbeere Seife,0.65,1,Lidl,Non-Food,0
Lidl_20260110,2026-01-10,Lidl,Pfeffer schwarz,2.39,1,Lidl,Fertiggerichte & Saucen,4
Lidl_20260113,2026-01-13,Lidl,Möhren Bioland,0.56,0.280 kg,Lidl,Gemüse,9
Lidl_20260113,2026-01-13,Lidl,Bioland Naturjoghurt,1.79,1,Lidl,Milchprodukte,6
Lidl_20260113,2026-01-13,Lidl,Bio Mini Möhren 200g,0.99,1,Lidl,Gemüse,9
Lidl_20260113,2026-01-13,Lidl,Pistazien ungesalz.,3.49,1,Lidl,Hülsenfrüchte & Nüsse,8
Lidl_20260115,2026-01-15,Lidl,Banane lose,1.1,0.850 kg,Lidl,Früchte,9
Lidl_20260115,2026-01-15,Lidl,Zuckermais,2.99,1,Lidl,Gemüse,9
Lidl_20260115,2026-01-15,Lidl,Kartoffeln Süß,0.56,0.314 kg,Lidl,Gemüse,9
Lidl_20260115,2026-01-15,Lidl,Bioland Naturjoghurt,3.58,2,Lidl,Milchprodukte,6
Lidl_20260115,2026-01-15,Lidl,Mineralwasser still,1.35,1,Lidl,Wasser,9
Lidl_20260115,2026-01-15,Lidl,Mandeln Honig/Salz,1.99,1,Lidl,Hülsenfrüchte & Nüsse,8
Lidl_20260116,2026-01-16,Lidl,Bio Baby Spinat,1.29,1,Lidl,Gemüse,9
Lidl_20260116,2026-01-16,Lidl,Heidelbeeren,1.49,1,Lidl,Früchte,9
Lidl_20260116,2026-01-16,Lidl,Toilettenpapier 3lg.,3.59,1,Lidl,Non-Food,0
Lidl_20260116,2026-01-16,Lidl,Tomaten Strauch,1.99,0.834 kg,Lidl,Gemüse,9
Lidl_20260116,2026-01-16,Lidl,Mandarinen,2.79,1,Lidl,Früchte,9
Lidl_20260116,2026-01-16,Lidl,Knotenbeutel,0.02,1,Lidl,Non-Food,0
HIT_20260121_Receipt 21.01.2026 19_20,2026-01-21,HIT,Trauben rot 500g,2.29,1,OBST & GEMÜSE,Früchte,9
HIT_20260121_Receipt 21.01.2026 19_20,2026-01-21,HIT,Trinkkokosnuss Stüc,6.98,2,OBST & GEMÜSE,Früchte,9
Lidl_20260121,2026-01-21,Lidl,Ananas,1.95,1.306 kg,Lidl,Früchte,9
Lidl_20260121,2026-01-21,Lidl,Zuckermais,2.99,1,Lidl,Gemüse,9
Lidl_20260121,2026-01-21,Lidl,Romatomaten,1.49,1,Lidl,Gemüse,9
Lidl_20260121,2026-01-21,Lidl,Bio-Eier OKT 10er,7.98,2,Lidl,Eier,8
HIT_20260121_Receipt 21.01.2026 19_20,2026-01-21,HIT,Capri-Sun Elfent,10.47,3,Getränke,Zuckerhaltige Getränke,3
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,"Pfand 0,25",1.75,7,Non-Food,Non-Food,0
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,ja! Miwa Still,1.74,1,Getränke,Wasser,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,HIT Schlaufentra,0.2,1,Non-Food,Non-Food,0
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,ja! Hamburger Br,0.99,1,Frühstück,Brot & Getreide,6
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Trinkkokosnuss Stüc,10.47,3,OBST & GEMÜSE,Früchte,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Gourmet Orangen,5.58,2,OBST & GEMÜSE,Früchte,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Rote Bete,0.35,"0,178 kg",OBST & GEMÜSE,Gemüse,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Bio Ingwer lose per,0.93,"0,118 kg",OBST & GEMÜSE,Gemüse,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Knoblauch per KG,1.09,"0,110 kg",OBST & GEMÜSE,Gemüse,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Koriander,1.11,1,OBST & GEMÜSE,Gemüse,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Strauchtomaten rot,1.22,"0,490 kg",OBST & GEMÜSE,Gemüse,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Bio Bananen,1.73,"0,964 kg",OBST & GEMÜSE,Früchte,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Mini-Paprika,1.79,1,OBST & GEMÜSE,Gemüse,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,"Kart. vfk.2,5kg",1.99,1,OBST & GEMÜSE,Gemüse,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Granatapfelsaft 250,3.49,1,OBST & GEMÜSE,Gesunde Getränke,7
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Erdbeeren 400g,4.99,1,OBST & GEMÜSE,Früchte,9
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,Butcher's Brioche B,3.38,2,Frühstück,Brot & Getreide,6
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,REWE Chicken Che,3.99,1,Tiefkühlkost,Fleisch & Geflügel,6
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Aln.Rot.BeteSaft,1.29,1,Getränke,Gesunde Getränke,7
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Mikado,5.07,3,Lebensmittel,Süßigkeiten & Desserts,2
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Granatapfel per Stü,2.49,1,OBST & GEMÜSE,Früchte,9
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Datteln ohne Steine,2.98,2,OBST & GEMÜSE,Früchte,9
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,"Bärenm.Milch 3,8",6.0,6,Lebensmittel,Milchprodukte,6
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Heidelbeeren,3.49,1,OBST & GEMÜSE,Früchte,9
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Jodsalz Flourid+,0.79,1,Lebensmittel,Fertiggerichte & Saucen,4
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Kiwi gold XL,3.18,2,OBST & GEMÜSE,Früchte,9
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Soft-Pflaumen en,3.49,1,Lebensmittel,Hülsenfrüchte & Nüsse,8
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,REWE Beste Wahl Mik,3.87,3,Lebensmittel,Süßigkeiten & Desserts,2
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Maryland Snack Nüss,3.89,1,Lebensmittel,Snacks & Chips,3
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Nüsse Salz&Pfeff,3.89,1,Lebensmittel,Hülsenfrüchte & Nüsse,8
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,Maryland Student,4.99,1,Lebensmittel,Snacks & Chips,3
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,REWE Brauner Roh,1.49,1,Lebensmittel,Fertiggerichte & Saucen,4
Lidl_20260126,2026-01-26,Lidl,Mango,1.39,1,Lidl,Früchte,9
Lidl_20260126,2026-01-26,Lidl,Cashewkerne 200g,2.99,1,Lidl,Hülsenfrüchte & Nüsse,8
Lidl_20260126,2026-01-26,Lidl,Snack-Mandeln,3.49,1,Lidl,Hülsenfrüchte & Nüsse,8
Lidl_20260128,2026-01-28,Lidl,Müllbeutel,0.99,1,Lidl,Non-Food,0
Lidl_20260128,2026-01-28,Lidl,All-in 1 MGR Tabs,5.89,1,Lidl,Non-Food,0
Lidl_20260128,2026-01-28,Lidl,Rohrreiniger-Gel,1.25,1,Lidl,Non-Food,0
Lidl_20260128,2026-01-28,Lidl,Heinz Ketchup,2.79,1,Lidl,Fertiggerichte & Saucen,4
Lidl_20260128,2026-01-28,Lidl,Fr.Eier a. Bodenhal.,2.49,1,Lidl,Eier,8
Lidl_20260128,2026-01-28,Lidl,Vegane Mayonnaise,1.69,1,Lidl,Fertiggerichte & Saucen,4
Lidl_20260128,2026-01-28,Lidl,Rein.tücher Meeresfr.,1.49,1,Lidl,Non-Food,0
Lidl_20260128,2026-01-28,Lidl,Sonnenblumenöl raff.,4.38,2,Lidl,Fertiggerichte & Saucen,4
Lidl_20260129,2026-01-29,Lidl,Croissant Butt.,0.98,2,Lidl,Süßigkeiten & Desserts,2
Lidl_20260129,2026-01-29,Lidl,Berliner NussN,0.99,1,Lidl,Süßigkeiten & Desserts,2
Lidl_20260129,2026-01-29,Lidl,Bio Blütenhonig flüssig,2.65,1,Lidl,Fertiggerichte & Saucen,4
Lidl_20260130,2026-01-30,Lidl,Banane lose,1.79,1.384 kg,Lidl,Früchte,9
Lidl_20260130,2026-01-30,Lidl,Tomaten Strauch,2.8,1.126 kg,Lidl,Gemüse,9
Lidl_20260130,2026-01-30,Lidl,Bioland Naturjoghurt,1.79,1,Lidl,Milchprodukte,6
Lidl_20260130,2026-01-30,Lidl,Naturjoghurt mild,0.89,1,Lidl,Milchprodukte,6
Lidl_20260130,2026-01-30,Lidl,Eier 18er Freilandh.,4.19,1,Lidl,Eier,8
Lidl_20260130,2026-01-30,Lidl,Mineralwasser still,1.74,6,Lidl,Wasser,9
Lidl_20260205_1,2026-02-05,Lidl,Donut Pinky,0.59,1,Lidl,Süßigkeiten & Desserts,2
Lidl_20260205_1,2026-02-05,Lidl,Croissant Butt.,0.98,2,Lidl,Süßigkeiten & Desserts,2
Lidl_20260205_1,2026-02-05,Lidl,Wasser still,1.74,6,Lidl,Wasser,9
Lidl_20260205,2026-02-05,Lidl,Bio-Eier OKT 10er,7.98,2,Lidl,Eier,8
