receipt_id,date,store,total,item_count
Lidl_20260102,2026-01-02,Lidl,33.61,14
Lidl_20260105,2026-01-05,Lidl,7.25,2
Lidl_20260106,2026-01-06,Lidl,15.94,9
Lidl_20260107,2026-01-07,Lidl,9.75,6
Lidl_20260108,2026-01-08,Lidl,5.88,2
Lidl_20260110,2026-01-10,Lidl,3.42,5
Lidl_20260113,2026-01-13,Lidl,5.68,4
Lidl_20260115,2026-01-15,Lidl,12.46,6
Lidl_20260116,2026-01-16,Lidl,10.79,6
Lidl_20260121,2026-01-21,Lidl,13.94,4
HIT_20260121_Receipt 21.01.2026 19_20,2026-01-21,HIT,19.14,3
HIT_20260123_Receipt 23.01.2026 20_13,2026-01-23,HIT,42.8,17
HIT_20260124_Receipt 24.01.2026 12_19,2026-01-24,HIT,49.4,15
Lidl_20260126,2026-01-26,Lidl,6.67,3
Lidl_20260128,2026-01-28,Lidl,20.97,8
Lidl_20260129,2026-01-29,Lidl,4.46,3
Lidl_20260130,2026-01-30,Lidl,14.7,6
Lidl_20260205,2026-02-05,Lidl,21.1,8
Lidl_20260205_1,2026-02-05,Lidl,4.81,3
Lidl_20260207,2026-02-07,Lidl,23.2,8
Lidl_20260209,2026-02-09,Lidl,8.91,4
HIT_20260210_Receipt 10.02.2026 18_57,2026-02-10,HIT,7.05,5
Lidl_20260210,2026-02-10,Lidl,7.23,3
Lidl_20260212,2026-02-12,Lidl,5.61,3
Lidl_20260213,2026-02-13,Lidl,13.54,6
HIT_20260214_Receipt 14.02.2026 09_05,2026-02-14,HIT,41.07,10
Lidl_20260217,2026-02-17,Lidl,9.72,4
Lidl_20260218,2026-02-18,Lidl,6.56,3
Lidl_20260219,2026-02-19,Lidl,3.96,2
HIT_20260220_Receipt 20.02.2026 19_43,2026-02-20,HIT,37.62,9
Lidl_20260220,2026-02-20,Lidl,6.66,4
Lidl_20260223,2026-02-23,Lidl,16.85,7
Lidl_20260224,2026-02-24,Lidl,15.38,7
HIT_20260225_Receipt 25.02.2026 11_29,2026-02-25,HIT,12.35,3
Lidl_20260225,2026-02-25,Lidl,0.89,1
Lidl_20260227,2026-02-27,Lidl,2.94,3
HIT_20260227_Receipt 27.02.2026 20_18,2026-02-27,HIT,31.75,8
Lidl_20260228,2026-02-28,Lidl,25.53,8
HIT_20260228_Receipt 28.02.2026 19_37,2026-02-28,HIT,16.55,5
Lidl_20260302,2026-03-02,Lidl,10.17,4
Lidl_20260303,2026-03-03,Lidl,6.79,6
Lidl_20260304,2026-03-04,Lidl,14.7,6
Lidl_20260304_1,2026-03-04,Lidl,5.49,1
Lidl_20260305_1,2026-03-05,Lidl,4.16,3
Lidl_20260305,2026-03-05,Lidl,13.28,7
HIT_20260305_Receipt 05.03.2026 20_12,2026-03-05,HIT,5.58,3
Lidl_20260306,2026-03-06,Lidl,11.71,4
Lidl_20260307,2026-03-07,Lidl,30.99,11
Lidl_20260309,2026-03-09,Lidl,2.22,2
Lidl_20260310,2026-03-10,Lidl,5.99,1
Restaurant_20260310,2026-03-10,Restaurant,25.8,3
Lidl_20260311,2026-03-11,Lidl,22.28,6
HIT_20260312_Receipt 12.03.2026 08_13,2026-03-12,HIT,1.74,1
Lidl_20260312,2026-03-12,Lidl,2.57,2
HIT_20260314_Receipt 14.03.2026 18_13,2026-03-14,HIT,14.66,6
Lidl_20260316,2026-03-16,Lidl,7.49,3
HIT_20260318_Receipt 18.03.2026 20_00,2026-03-18,HIT,26.33,8
Lidl_20260318,2026-03-18,Lidl,22.92,10
Lidl_20260319,2026-03-19,Lidl,31.11,7
Restaurant_20260324,2026-03-24,Restaurant,20.0,1
